,0,1,2
0,3768.55,-8222.503,24.131582
1,2413.089,-8979.152,35.250114
2,5906.63,-2631.4058,25.11762
3,1539.9052,5156.216,5.4533806
4,4848.9053,-4738.569,9.981942
5,83.27549,-4152.348,30.252043
6,8018.7964,61.463917,28.58179
7,8366.36,4066.739,30.986624
8,6484.3193,798.8157,36.030796
9,5514.05,2173.4521,19.350744
10,4780.6143,-2359.5332,38.48194
11,5330.1084,4751.631,25.75855
12,7163.3965,-5402.573,23.03131
13,2499.3367,2129.5303,13.737358
14,1984.9945,-9004.232,33.550026
15,5551.217,-7549.9326,18.149488
16,2749.7698,427.75635,14.274383
17,2780.9436,-7968.3105,5.726165
18,7916.234,-1368.0073,28.055777
19,8188.884,-3965.7705,37.875996
20,8043.7754,-6417.006,11.467841
21,8879.086,1936.6384,5.083019
22,1739.8765,-8145.747,4.3522573
23,6633.126,-5466.394,25.42404
24,647.82416,-891.3182,37.10867
25,1469.8429,-9059.372,10.007809
26,2735.2793,-7176.3125,5.798617
27,7942.0005,68.61352,8.244747
28,6579.7744,3064.4045,3.027373
29,8902.223,-9600.518,19.526106
30,8797.963,-8133.5728,12.860248
31,323.2052,2941.905,8.055469
32,6223.8774,-2567.0457,38.095734
33,3023.515,-8637.6455,35.118095
34,5235.556,901.58813,24.160254
35,7059.4272,3394.935,20.420244
36,6901.455,2753.0076,27.591759
37,7141.405,458.60876,27.135286
38,9365.525,-8136.3433,30.295834
39,6086.161,2293.2017,18.357372
40,7746.282,-9646.435,20.959354
41,8034.2256,1408.449,11.560454
42,6732.9897,1863.9792,25.100677
43,3079.9229,1503.5464,16.02458
44,225.48557,-5719.227,11.307598
45,7716.275,5005.6914,10.849455
46,4138.0474,-1863.7021,15.432886
47,3313.7673,-5804.011,36.827812
48,2381.8772,-6192.215,12.045897
49,1740.8038,-3822.7988,30.473373
50,1759.969,-2489.4683,5.599293
51,3056.2922,-4381.7393,31.456326
52,7694.4033,2691.579,34.991558
53,5535.088,2350.2114,36.959953
54,9264.78,1639.3246,17.957727
55,5227.641,-6248.995,31.087914
56,6960.109,1294.6257,31.439459
57,3765.0723,-5565.9907,8.331915
58,6859.128,-9537.801,13.633751
59,3500.7778,1758.0406,19.299162
60,295.16122,-5387.777,34.518635
61,177.96475,4199.2144,10.952157
62,4088.8835,-2179.1106,22.687637
63,5875.4062,-6775.282,23.325033
64,4646.388,-1329.1112,11.805945
65,9247.793,-5524.333,31.302725
66,5537.2603,-8064.367,9.50412
67,959.04846,-7256.2563,23.456097
68,8184.7583,2778.2183,32.25804
69,6750.834,-5682.098,22.321918
70,2579.8213,-4862.586,8.954755
71,1308.7771,550.9256,5.3854747
72,4470.748,-7479.529,17.726118
73,1361.9575,3302.028,28.629072
74,4202.9736,-3450.183,33.345238
75,5398.144,-661.1709,10.585555
76,3275.0366,-379.48828,25.731018
77,852.5528,2772.6433,15.496573
78,4762.6577,1361.628,26.329552
79,9312.958,-7359.036,14.195156
80,4859.6025,2778.8018,37.174793
81,8494.957,781.615,21.321594
82,6684.7646,-2313.6313,33.847626
83,1111.5342,590.17004,1.385557
84,6224.057,-2619.5012,2.419504
85,133.31152,3435.991,7.939909
86,2595.2612,4224.086,20.782309
87,1858.8207,4865.596,12.998676
88,5564.799,-1886.5204,31.458544
89,2697.7437,-126.26626,19.759336
90,7411.485,117.29373,20.956242
91,7703.5015,-8761.423,18.75679
92,2927.774,4051.6873,35.146637
93,2044.4574,-830.2589,31.403278
94,4241.7217,-1525.6412,12.395342
95,8441.55,-8726.093,23.934914
96,1486.656,-4714.4893,6.598631
97,1395.5645,-4268.657,0.2685314
98,1143.9414,4336.4478,29.235191
99,7993.7236,-8798.942,9.123544
100,6694.3823,168.42667,36.69248
101,9806.153,2524.45,19.12101
102,1577.6967,-7807.3037,37.158707
103,2239.2434,-3828.3489,22.73812
104,7406.6245,-6735.281,35.6834
105,4548.392,-7032.5947,7.002183
106,3175.7146,940.5673,38.15909
107,2957.375,-1851.7377,20.659296
108,9174.479,-8879.676,30.760357
109,7681.905,4486.4644,19.463936
110,8448.681,-9915.147,31.804321
111,3985.5674,-4502.363,36.11737
112,3964.4255,-2960.9812,25.79185
113,8094.7646,-3434.383,31.661924
114,1157.3334,4158.0073,13.119495
115,2683.0107,-8628.012,19.694593
116,4812.6353,62.156578,38.66356
117,4176.9463,1466.6621,26.17491
118,4766.4497,-3533.8008,0.947792
119,2360.945,-6832.265,33.441875
120,4135.457,-1622.657,19.993805
121,2994.7537,-3644.3643,14.788607
122,5144.5664,-9330.85,8.480338
123,9150.223,3855.0608,2.9134183
124,2542.421,4573.7754,21.000359
125,8140.71,570.1839,29.727102
126,5127.2095,-1979.4414,10.446785
127,2447.7488,-5228.0015,10.497694
128,7508.1064,3125.3108,12.418813
129,4233.6626,211.40683,15.786391
130,3929.7332,3739.0693,12.5608
131,6636.0977,-1831.7969,6.8268714
132,301.5287,-3024.3613,5.885192
133,3371.4102,-4240.341,7.968106
134,8132.2827,4497.2197,0.8261167
135,6479.672,-431.51117,14.457308
136,754.82306,2286.1377,6.4958296
137,6416.862,4076.8728,19.24647
138,5656.0557,-5464.484,16.945217
139,546.8561,5281.688,13.335048
140,3814.8826,208.23955,15.357302
141,1150.4587,-1637.8041,9.241046
142,6381.778,2946.1592,37.851784
143,6045.797,5391.0664,21.27479
144,7805.2188,2003.4413,21.011606
145,8876.23,-3103.9287,37.57297
146,1742.443,-3045.6575,13.109834
147,142.1624,773.4223,19.084517
148,9460.251,1778.3182,9.883102
149,4173.4985,-2324.6858,1.4042146
150,4852.2515,1044.7579,38.63468
151,9803.955,3565.2898,12.273358
152,3015.2334,-1126.7754,1.5484167
153,8364.301,-1120.2399,1.8834852
154,3688.9167,-2704.306,14.971949
155,5813.648,1597.1407,12.365036
156,9689.184,-2124.738,37.855595
157,3888.6343,-9815.15,4.7143693
158,1551.5377,-7240.775,20.703863
159,6248.874,4554.2925,34.90049
160,2141.9849,-6904.935,14.052919
161,8096.2124,1575.1503,14.010526
162,7424.86,-7570.589,25.153633
163,6607.319,3032.011,19.19066
164,272.27454,4582.203,5.557825
165,6891.176,2870.0486,24.669086
166,808.9933,-9179.794,22.200142
167,2746.3853,-5982.3936,6.1116185
168,9541.294,-3855.8774,17.457361
169,9614.541,-2841.9988,23.376333
170,6828.606,3026.9683,7.5952506
171,2058.5112,-170.05042,18.158005
172,935.6363,-6271.6807,27.09322
173,9800.0205,-195.09447,38.423576
174,9508.358,-10250.398,37.596478
175,423.53137,-3991.4883,22.948185
176,1066.3507,-4928.2637,4.1745906
177,1739.0,394.7442,13.007243
178,2636.5398,4059.9954,22.850296
179,1498.0475,-2561.9878,5.917573
180,8457.795,-9648.456,31.282072
181,1853.6549,-7609.6353,11.116903
182,9029.146,-1083.5039,15.013204
183,3575.3123,3327.5273,11.453678
184,9575.78,-3541.2778,5.204889
185,9156.897,-3774.2112,31.93357
186,3684.2734,1763.6289,26.677279
187,8178.098,-4264.477,3.46819
188,4406.072,-3639.8572,19.2416
189,8704.052,2894.013,15.0829735
190,5591.8027,46.826267,4.3158946
191,573.80383,-4357.6934,8.975452
192,4880.18,-4947.1265,4.0952983
193,9785.293,5157.9385,15.8579855
194,1790.683,5099.462,16.273344
195,1291.1301,-8409.632,20.498533
196,8891.639,-5700.3896,17.336828
197,8106.106,-3815.5203,6.8513446
198,6010.6553,-4337.8257,8.837113
199,7973.852,-4151.229,7.543546
200,7006.816,-10153.122,37.871098
201,961.7732,-8223.141,31.155256
202,8310.569,-2711.0757,13.985794
203,9105.318,-7486.142,6.4292374
204,1055.6776,-2982.3994,20.899916
205,2610.103,-6153.652,31.729586
206,3453.4756,4440.6924,22.660011
207,1937.014,-7733.6543,3.7746856
208,3706.4644,-7582.844,35.89406
209,5529.901,-1371.8223,17.210749
210,4365.784,2908.305,17.061764
211,3731.8596,-2462.647,22.458597
212,575.22546,-2579.0723,12.8221855
213,3142.0935,-3002.1055,15.467508
214,232.4459,779.8743,5.4850736
215,3777.269,-5554.674,18.612715
216,3151.683,3554.4653,23.929379
217,1899.6866,-624.49567,34.755062
218,5189.1006,-3383.5024,2.4754903
219,1967.162,-1646.7642,14.854643
220,5070.165,-1033.5236,28.70859
221,1520.1427,-1654.1947,10.938621
222,8944.762,-6000.252,36.312492
223,6013.18,-7300.525,38.524544
224,5640.465,-7604.8774,16.512
225,5780.4233,1089.7281,29.11714
226,4220.5264,-4327.836,25.755148
227,2481.155,-1656.0577,13.956138
228,2627.385,1463.3217,35.61845
229,6971.972,617.00885,10.719738
230,523.87573,-8444.378,6.4989214
231,1961.9635,-370.20633,25.837774
232,3462.3489,-7491.677,20.620033
233,1663.1168,3944.6821,4.5075173
234,8773.627,-1181.6573,1.9254018
235,8109.9907,5122.558,27.7886
236,1752.9991,-9404.296,37.157047
237,1639.5265,-8247.732,9.222549
238,1205.7842,-2116.0732,37.66734
239,782.33484,2571.4841,28.05031
240,2658.64,-3152.615,37.555347
241,4685.2476,-9447.163,19.989258
242,964.743,102.39441,33.8824
243,7575.7334,2219.5708,37.27582
244,8227.173,-316.37518,17.839334
245,7285.2827,-3027.1157,36.05226
246,4464.3296,-5917.847,36.389576
247,7939.258,-5732.8374,34.472126
248,5912.526,-2258.5547,8.74183
249,7251.7505,-4783.831,28.345419
250,2038.4434,-6766.1357,23.423143
251,824.3709,-2977.9915,38.014046
252,9859.88,-574.51074,36.440872
253,6034.3574,-4915.786,12.191726
254,7427.709,-7819.4346,15.509519
255,7028.8447,5073.845,15.668858
256,3614.8965,-2664.7341,20.696741
257,9143.335,-4409.564,18.838305
258,6839.9307,-7567.3228,6.3617306
259,4528.947,-8674.791,1.7435801
260,3309.686,-3568.375,13.8374195
261,1877.8955,-7617.445,16.851873
262,1242.9065,-4494.274,21.726652
263,8538.143,-6499.8857,3.1700265
264,1634.43,-9111.328,24.339373
265,9197.294,-2029.2988,10.532824
266,6290.13,-771.084,4.2707834
267,7911.517,1257.5151,30.386108
268,7025.8433,3252.9163,11.627328
269,9591.225,-1665.0763,0.18051016
270,7133.818,-8229.044,14.823736
271,8812.366,2170.4453,22.800884
272,117.20541,-782.49994,23.939754
273,2521.2725,-3988.5623,8.292086
274,2692.201,-3830.2476,9.338396
275,4633.166,-987.72565,37.417324
276,2382.9487,-3695.5728,8.9875145
277,2738.3076,-2087.4485,1.0159181
278,6288.3994,-9879.118,8.446898
279,9740.042,-2207.3843,11.136613
280,6022.668,-4060.857,37.299843
281,9674.0,-2640.662,33.66661
282,3046.993,-2623.209,27.109034
283,8861.72,3326.8489,21.496284
284,4349.817,-9316.398,30.366865
285,3971.2847,-5759.3267,13.316265
286,9535.865,-9781.934,28.58362
287,9380.808,-1384.5657,29.882925
288,9478.813,-4436.0615,0.35139054
289,6401.001,-2580.7024,15.485974
290,7831.7,958.4209,4.826569
291,7729.5303,1086.4049,13.510827
292,3259.9512,-9495.171,7.924066
293,424.59738,-3561.4668,37.30521
294,5882.738,294.89038,34.48141
295,3491.8423,-8020.1616,26.451906
296,7186.0537,18.367376,4.932462
297,2977.6038,-8599.484,32.947346
298,1497.5469,5102.7954,37.768417
299,912.9181,-9767.534,13.06639
300,374.812,-5004.245,21.038652
301,8569.265,-6868.8335,23.716827
302,6080.7363,1271.9655,20.307274
303,7760.875,-7138.951,3.0096426
304,8164.866,-7375.417,18.132793
305,8565.33,-2993.1626,24.021812
306,7087.8037,-1288.8805,0.68099165
307,8019.318,-7707.724,15.312126
308,7620.4727,1055.9226,12.153923
309,5283.9355,-2444.3928,16.622654
310,1939.6589,1188.109,37.32492
311,4455.167,299.64713,33.75957
312,2177.7424,2983.599,21.14153
313,3482.5505,1733.4644,5.571769
314,7923.096,-4479.7417,26.285196
315,8832.516,4022.7683,12.949446
316,1417.7488,1819.5131,16.021471
317,497.45718,-8907.117,30.654867
318,9581.109,-7809.564,14.923438
319,8983.138,-10113.199,35.748276
320,9700.828,-6211.4746,8.913257
