traj_id,t,u,v_meas,v_true,x_meas,x_true,v_true_next,x_true_next,a_true_next,a_meas_next
0.0,0.0,510.0,13.867029,13.888889,0.097046904,0.0,13.8888035,1.3888847,-0.0008614474,0.07567307
0.0,0.1,510.0,13.812484,13.8888035,1.4714888,1.3888847,13.888718,2.7777607,-0.0008607347,0.19560511
0.0,0.2,510.0,13.811006,13.888718,2.72266,2.7777607,13.888632,4.1666284,-0.0008600261,-0.104634896
0.0,0.3,510.0,14.073567,13.888632,4.217592,4.1666284,13.888546,5.555487,-0.0008593083,-0.01842797
0.0,0.4,510.0,13.817986,13.888546,5.53291,5.555487,13.88846,6.9443374,-0.00085859967,-0.1178506
0.0,0.5,510.0,13.879856,13.88846,7.107409,6.9443374,13.888374,8.333179,-0.0008578961,0.0051403875
0.0,0.6,510.0,13.917168,13.888374,8.426775,8.333179,13.8882885,9.7220125,-0.0008571783,0.08859904
0.0,0.7,510.0,13.87515,13.8882885,9.804494,9.7220125,13.888203,11.110837,-0.0008564697,-0.17861697
0.0,0.8,510.0,13.789928,13.888203,11.11151,11.110837,13.888117,12.499653,-0.000855757,0.036146034
0.0,0.9,510.0,13.796238,13.888117,12.334869,12.499653,13.888031,13.88846,-0.0008550483,0.069815956
0.0,1.0,510.0,14.007975,13.888031,14.154928,13.88846,13.887945,15.277259,-0.0008543356,-0.27241054
0.0,1.1,510.0,13.853807,13.887945,15.35076,15.277259,13.887859,16.66605,-0.000853627,0.060045596
0.0,1.2,510.0,13.711999,13.887859,16.670618,16.66605,13.887774,18.054832,-0.0008529092,-0.010540833
0.0,1.3,510.0,13.892886,13.887774,17.92278,18.054832,13.88769,19.443605,-0.0008522107,0.0009948468
0.0,1.4,510.0,13.830497,13.88769,19.62871,19.443605,13.887605,20.83237,-0.0008515071,-0.10284333
0.0,1.5,510.0,13.817548,13.887605,20.761234,20.83237,13.88752,22.221127,-0.0008508087,0.07233053
0.0,1.6,510.0,13.794009,13.88752,22.262274,22.221127,13.887435,23.609875,-0.0008501051,-0.052315157
0.0,1.7,510.0,14.040884,13.887435,23.572989,23.609875,13.88735,24.998613,-0.0008493975,0.030158889
0.0,1.8,510.0,14.0850935,13.88735,25.17712,24.998613,13.887265,26.387344,-0.00084869395,0.20324625
0.0,1.9,510.0,13.843753,13.887265,26.364239,26.387344,13.88718,27.776066,-0.00084799546,-0.11400767
0.0,2.0,510.0,13.873725,13.88718,27.757357,27.776066,13.887095,29.16478,-0.0008472919,0.014995051
0.0,2.1,510.0,13.866139,13.887095,29.12027,29.16478,13.887011,30.553486,-0.00084658427,-0.0064252205
0.0,2.2,510.0,13.810326,13.887011,30.582685,30.553486,13.886926,31.942183,-0.0008458807,0.023063503
0.0,2.3,510.0,13.890923,13.886926,31.847437,31.942183,13.886841,33.33087,-0.0008451822,0.17081927
0.0,2.4,510.0,13.948019,13.886841,33.176773,33.33087,13.886756,34.71955,-0.00084447867,-0.08994
0.0,2.5,510.0,13.8603735,13.886756,34.60736,34.71955,13.886672,36.108223,-0.0008437802,-0.13197389
0.0,2.6,510.0,13.9384,13.886672,36.170948,36.108223,13.886588,37.496887,-0.0008430868,-0.036570944
0.0,2.7,510.0,13.955258,13.886588,37.67542,37.496887,13.886504,38.88554,-0.0008423883,-0.07744616
0.0,2.8,510.0,13.99655,13.886504,38.72741,38.88554,13.88642,40.274185,-0.00084169494,0.08524376
0.0,2.9,510.0,13.877209,13.88642,40.323917,40.274185,13.886336,41.662823,-0.0008410015,0.0028738407
0.0,3.0,510.0,13.844669,13.886336,41.559807,41.662823,13.886252,43.051453,-0.00084030814,-0.042140212
0.0,3.1,510.0,13.86427,13.886252,43.053314,43.051453,13.8861685,44.440075,-0.00083960965,0.02292177
0.0,3.2,510.0,13.884393,13.8861685,44.30802,44.440075,13.886085,45.828686,-0.0008389163,0.16064072
0.0,3.3,510.0,13.76705,13.886085,45.741882,45.828686,13.886001,47.21729,-0.00083822286,0.062273595
0.0,3.4,510.0,13.777442,13.886001,47.035946,47.21729,13.885917,48.605885,-0.00083752035,-0.06630333
0.0,3.5,510.0,13.778423,13.885917,48.73634,48.605885,13.885833,49.994473,-0.00083682186,-0.039084416
0.0,3.6,510.0,13.887271,13.885833,49.9894,49.994473,13.885749,51.383053,-0.0008361285,-0.05899395
0.0,3.7,510.0,13.876831,13.885749,51.42879,51.383053,13.885665,52.77162,-0.0008354351,0.071862765
0.0,3.8,510.0,13.818141,13.885665,52.755,52.77162,13.885581,54.160183,-0.0008347417,0.047012426
0.0,3.9,510.0,14.044543,13.885581,54.17356,54.160183,13.885498,55.548737,-0.00083404325,0.15721235
0.0,4.0,510.0,13.840749,13.885498,55.546013,55.548737,13.885415,56.937283,-0.000833364,-0.0090885665
0.0,4.1,510.0,13.833353,13.885415,56.693474,56.937283,13.885332,58.32582,-0.0008326758,-0.054999936
0.0,4.2,510.0,13.815969,13.885332,58.31936,58.32582,13.885249,59.71435,-0.0008319875,-0.11342151
0.0,4.3,510.0,14.012122,13.885249,59.767635,59.71435,13.885166,61.10287,-0.00083129917,0.09857604
0.0,4.4,510.0,14.025208,13.885166,60.858578,61.10287,13.885083,62.491383,-0.00083061086,0.08155775
0.0,4.5,510.0,13.82279,13.885083,62.427055,62.491383,13.885,63.879887,-0.00082992256,-0.06449293
0.0,4.6,510.0,13.923658,13.885,63.880035,63.879887,13.884917,65.26838,-0.00082922913,0.18018517
0.0,4.7,510.0,13.941821,13.884917,65.419754,65.26838,13.884834,66.65687,-0.00082854996,-0.014638157
0.0,4.8,510.0,13.742167,13.884834,66.44137,66.65687,13.884751,68.04535,-0.00082786166,0.01765463
0.0,4.9,510.0,13.701663,13.884751,68.119255,68.04535,13.884668,69.43382,-0.00082717335,0.012397005
0.0,5.0,510.0,13.729204,13.884668,69.2035,69.43382,13.884585,70.82229,-0.00082648505,-0.03522708
0.0,5.1,510.0,14.12589,13.884585,70.840744,70.82229,13.884502,72.21075,-0.0008258059,-0.049642462
