traj_id,t,u,a_meas,a_true,v_true_m,v_true_km,x_true
0.0,0.0,510.0,-0.0030474428,-0.00086144614,13.888889,50.0,0.0
0.0,0.1,510.0,-0.008492702,-0.0008607329,13.888803,49.99969,1.3888845
0.0,0.2,510.0,-0.008631223,-0.00086002034,13.888717,49.999382,2.7777605
0.0,0.3,510.0,0.017634258,-0.0008593083,13.888631,49.99907,4.166628
0.0,0.4,510.0,-0.0079146,-0.0008585969,13.888545,49.99876,5.5554867
0.0,0.5,510.0,-0.0017183064,-0.00085788604,13.888459,49.99845,6.944337
0.0,0.6,510.0,0.0020221572,-0.0008571758,13.888373,49.998142,8.3331785
0.0,0.7,510.0,-0.0021703313,-0.0008564662,13.888288,49.997837,9.722012
0.0,0.8,510.0,-0.010683198,-0.0008557571,13.888202,49.997528,11.110836
0.0,0.9,510.0,-0.010042962,-0.00085504865,13.888117,49.99722,12.499652
0.0,1.0,510.0,0.011140004,-0.0008543408,13.888031,49.99691,13.888459
0.0,1.1,510.0,-0.004267376,-0.00085363345,13.887945,49.996605,15.277258
0.0,1.2,510.0,-0.018439,-0.00085292675,13.88786,49.996296,16.666048
0.0,1.3,510.0,-0.00034104596,-0.00085222063,13.887775,49.99599,18.05483
0.0,1.4,510.0,-0.006570805,-0.00085151516,13.88769,49.99568,19.443604
0.0,1.5,510.0,-0.0078564705,-0.0008508102,13.887605,49.995377,20.832369
0.0,1.6,510.0,-0.010201168,-0.00085010583,13.88752,49.99507,22.221125
0.0,1.7,510.0,0.0144954575,-0.0008494021,13.887435,49.994766,23.609873
0.0,1.8,510.0,0.01892564,-0.0008486989,13.88735,49.99446,24.998611
0.0,1.9,510.0,-0.0051992596,-0.0008479963,13.887265,49.994152,26.387342
0.0,2.0,510.0,-0.0021928132,-0.0008472943,13.88718,49.993847,27.776064
0.0,2.1,510.0,-0.0029422403,-0.0008465929,13.887095,49.993546,29.164778
0.0,2.2,510.0,-0.008514394,-0.00084589206,13.887011,49.99324,30.553484
0.0,2.3,510.0,-0.00044548744,-0.00084519177,13.886927,49.992935,31.94218
0.0,2.4,510.0,0.0052732877,-0.0008444921,13.886842,49.99263,33.330868
0.0,2.5,510.0,-0.003482046,-0.00084379304,13.886758,49.992325,34.719547
0.0,2.6,510.0,0.004329703,-0.00084309455,13.886673,49.992023,36.10822
0.0,2.7,510.0,0.006024667,-0.0008423966,13.886589,49.99172,37.496883
0.0,2.8,510.0,0.010162859,-0.00084169925,13.886504,49.991417,38.885536
0.0,2.9,510.0,-0.0017621181,-0.0008410025,13.88642,49.99111,40.274185
0.0,3.0,510.0,-0.0050069964,-0.0008403063,13.886336,49.99081,41.662823
0.0,3.1,510.0,-0.00303779,-0.0008396107,13.886252,49.99051,43.051453
0.0,3.2,510.0,-0.0010164718,-0.00083891564,13.8861685,49.990208,44.44007
